Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Ainaži;13.04 18:00;+16.2;+15.3;+15.8;0.0;5.1;7.1;20000;20000;0.0;759.9;+2.5;42;;
Alūksne;13.04 18:00;+13.6;+12.5;+13.0;0.0;4.2;9.2;3170;18108;0.0;760.3;+1.5;47;0.0;
Bauska;13.04 18:00;+13.7;+13.4;+13.6;0.0;3.4;5.6;18140;20000;0.0;758.5;+4.0;52;;
Dagda;13.04 18:00;+12.5;+11.9;+12.2;0.0;4.5;11.2;20000;20000;0.0;760.0;+1.8;49;;
Daugavgrīva;13.04 18:00;+14.8;+12.8;+13.7;0.0;4.0;8.3;20000;20000;0.0;759.1;+2.0;46;;
Daugavpils;13.04 18:00;+13.1;+12.6;+12.8;0.0;4.7;9.0;20000;20000;0.0;759.5;+2.5;50;0.0;
Dobele;13.04 18:00;+13.0;+12.6;+12.8;0.0;3.5;4.7;20000;20000;0.0;758.5;+5.6;62;0.0;
Gulbene;13.04 18:00;+15.4;+14.9;+15.2;0.0;4.5;8.9;20000;20000;0.0;759.7;-0.1;36;;
Jelgava;13.04 18:00;+13.8;+13.6;+13.7;0.0;3.3;5.5;20000;20000;0.0;758.7;+5.7;59;;
Kalnciems;13.04 18:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 18:00;+9.0;+6.7;+7.8;0.0;1.5;8.4;19160;20000;0.0;759.1;+2.7;76;0.0;
Kuldīga;13.04 18:00;;;;0.0;;;;;0.0;;;;;
Lielpēči;13.04 18:00;;;;;;;;;0.0;;;;;
Liepāja;13.04 18:00;+13.5;+13.0;+13.2;0.0;2.4;7.0;20000;20000;0.0;757.3;+6.1;63;0.0;
Madona;13.04 18:00;+15.0;+14.5;+14.7;0.0;3.4;8.7;20000;20000;0.0;759.7;-0.5;36;;
Mērsrags;13.04 18:00;+11.7;+9.5;+10.7;0.0;1.8;6.2;17740;20000;0.0;759.0;+4.3;65;;
Pāvilosta;13.04 18:00;+14.8;+13.7;+14.1;0.0;5.7;11.3;17990;20000;0.0;757.4;+4.0;52;;
Piedruja;13.04 18:00;;;;;;;;;0.0;;;;;
Priekuļi;13.04 18:00;+14.6;+14.2;+14.4;0.0;2.1;6.4;17020;20000;0.0;759.6;+0.4;39;;
Rēzekne;13.04 18:00;+14.4;+13.5;+13.8;0.0;3.5;13.9;20000;20000;0.0;759.7;-0.4;38;;
Rīga;13.04 18:00;+15.0;+14.5;+14.7;0.0;3.3;8.8;12870;14605;0.0;759.0;+1.8;41;0.0;
Rucava;13.04 18:00;+13.5;+12.7;+13.1;0.0;4.4;8.4;20000;20000;0.0;757.1;+6.4;66;;
Rūjiena;13.04 18:00;+15.1;+14.2;+14.8;0.1;6.9;12.0;20000;20000;0.0;760.0;+2.8;46;;
Saldus;13.04 18:00;+11.5;+10.8;+11.2;0.0;3.4;7.0;20000;20000;0.0;758.4;+5.5;70;;
Sigulda;13.04 18:00;;;;0.0;;;;;0.0;;;;;
Sīļi;13.04 18:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 18:00;;;+13.8;;;;;20000;0.0;759.1;+1.5;44;;
Skulte;13.04 18:00;+15.4;+14.7;+15.0;0.0;3.1;7.6;17940;20000;0.0;759.3;+0.4;38;;
Stende;13.04 18:00;+13.3;+13.0;+13.2;0.0;3.2;6.8;19550;20000;0.0;758.5;+4.9;58;;
Ventspils;13.04 18:00;+14.7;+14.3;+14.5;0.0;5.5;9.6;20000;20000;0.0;758.1;+4.2;50;;
Vičaki;13.04 18:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 18:00;+14.1;+13.5;+13.9;0.0;4.1;7.9;6410;20000;0.0;759.6;+0.5;41;;
Zosēni;13.04 18:00;+14.8;+14.2;+14.5;0.0;5.2;10.9;17300;20000;0.0;759.6;-0.7;36;0.0;
Ainaži;13.04 17:00;+16.2;+15.8;+16.1;0.0;5.4;10.7;20000;20000;0.0;759.6;+1.8;38;;
Alūksne;13.04 17:00;+14.8;+13.5;+14.0;0.0;3.7;9.0;17350;20000;0.0;760.1;+0.8;42;0.0;
Bauska;13.04 17:00;+13.8;+13.5;+13.6;0.0;4.4;6.1;20000;20000;0.0;758.4;+4.7;55;;
Dagda;13.04 17:00;+13.1;+12.1;+12.6;0.0;5.9;13.9;20000;20000;0.0;759.7;+0.8;45;;lietus; smidzināšana
Daugavgrīva;13.04 17:00;+15.0;+13.1;+13.9;0.0;5.6;12.6;15520;20000;0.0;758.8;+2.4;48;;
Daugavpils;13.04 17:00;+13.4;+13.1;+13.3;0.0;1.5;6.0;17250;20000;0.0;759.1;+1.4;45;0.0;
Dobele;13.04 17:00;+12.8;+12.6;+12.7;0.0;1.8;4.7;20000;20000;0.0;758.5;+5.5;62;0.0;
Gulbene;13.04 17:00;+16.0;+15.3;+15.7;0.0;3.0;12.1;5170;19902;0.0;759.5;-1.0;33;;
Jelgava;13.04 17:00;+13.8;+13.4;+13.5;0.0;3.1;7.0;20000;20000;0.0;758.5;+5.7;59;;
Kalnciems;13.04 17:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 17:00;+8.6;+7.8;+8.2;0.0;2.4;5.2;8430;20000;0.0;758.8;+3.1;69;0.1;
Kuldīga;13.04 17:00;;;;;;;;;0.0;;;;;
Lielpēči;13.04 17:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 17:00;+13.9;+13.0;+13.4;0.0;2.4;5.3;20000;20000;0.0;757.1;+5.7;61;0.0;
Madona;13.04 17:00;+15.3;+14.6;+15.0;0.0;3.6;9.5;19140;20000;0.0;759.6;-0.3;36;;
Mērsrags;13.04 17:00;+12.9;+10.9;+11.8;0.0;2.1;4.3;18790;20000;0.0;758.5;+3.8;62;;
Pāvilosta;13.04 17:00;+14.8;+8.7;+10.6;0.0;4.4;8.8;16200;20000;0.0;757.2;+4.4;50;;
Piedruja;13.04 17:00;;;;;;;;;0.0;;;;;
Priekuļi;13.04 17:00;+14.9;+14.4;+14.6;0.0;3.5;8.0;19470;20000;0.0;759.4;+0.3;38;;
Rēzekne;13.04 17:00;+14.8;+14.4;+14.7;0.0;7.9;14.1;19170;20000;0.0;759.6;-0.8;35;;
Rīga;13.04 17:00;+15.9;+14.9;+15.4;0.0;4.5;11.0;10860;14012;0.0;758.8;+3.0;45;0.0;
Rucava;13.04 17:00;+13.2;+12.8;+13.1;0.0;4.7;7.3;20000;20000;0.0;756.8;+5.3;59;;
Rūjiena;13.04 17:00;+15.6;+15.0;+15.3;0.0;6.2;9.9;18930;20000;0.0;759.8;+1.9;41;;
Saldus;13.04 17:00;+12.5;+11.5;+12.1;0.0;2.6;8.1;20000;20000;0.0;758.1;+4.9;64;;
Sigulda;13.04 17:00;;;;0.0;;;;;0.0;;;;;
Sīļi;13.04 17:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 17:00;+14.2;+13.8;+14.1;0.0;3.3;7.4;20000;20000;0.0;758.8;+1.4;43;;
Skulte;13.04 17:00;+15.9;+15.2;+15.5;0.0;3.2;10.1;20000;20000;0.0;759.0;+0.3;36;;
Stende;13.04 17:00;+13.7;+13.2;+13.6;0.0;3.9;6.4;20000;20000;0.0;758.2;+4.0;54;;
Ventspils;13.04 17:00;+15.4;+14.2;+14.8;0.0;6.2;9.6;20000;20000;0.0;757.7;+3.4;47;;
Vičaki;13.04 17:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 17:00;+14.3;+14.0;+14.2;0.0;3.5;6.6;8200;20000;0.0;759.1;+0.5;40;;lietus
