Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Ainaži;13.04 17:00;+16.2;+15.8;+16.1;0.0;5.4;10.7;20000;20000;0.0;759.6;+1.8;38;;
Alūksne;13.04 17:00;+14.8;+13.5;+14.0;0.0;3.7;9.0;17350;20000;0.0;760.1;+0.8;42;0.0;
Bauska;13.04 17:00;+13.8;+13.5;+13.6;0.0;4.4;6.1;20000;20000;0.0;758.4;+4.7;55;;
Dagda;13.04 17:00;+13.1;+12.1;+12.6;0.0;5.9;13.9;20000;20000;0.0;759.7;+0.8;45;;
Daugavgrīva;13.04 17:00;+15.0;+13.1;+13.9;0.0;5.6;12.6;15520;20000;0.0;758.8;+2.4;48;;
Daugavpils;13.04 17:00;+13.4;+13.1;+13.3;0.0;1.5;6.0;17250;20000;0.0;759.1;+1.4;45;0.0;
Dobele;13.04 17:00;+12.8;+12.6;+12.7;0.0;1.8;4.7;20000;20000;0.0;758.5;+5.5;62;0.0;
Gulbene;13.04 17:00;+16.0;+15.3;+15.7;0.0;3.0;12.1;5170;19902;0.0;759.5;-1.0;33;;
Jelgava;13.04 17:00;+13.8;+13.4;+13.5;0.0;3.1;7.0;20000;20000;0.0;758.5;+5.7;59;;
Kalnciems;13.04 17:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 17:00;+8.6;+7.8;+8.2;0.0;2.4;5.2;8430;20000;0.0;758.8;+3.1;69;0.1;
Kuldīga;13.04 17:00;;;;;;;;;0.0;;;;;
Lielpēči;13.04 17:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 17:00;+13.9;+13.0;+13.4;0.0;2.4;5.3;20000;20000;0.0;757.1;+5.7;61;0.0;
Madona;13.04 17:00;+15.3;+14.6;+15.0;0.0;3.6;9.5;19140;20000;0.0;759.6;-0.3;36;;
