Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Ainaži;13.04 16:00;+15.9;+15.4;+15.8;0.0;7.5;11.7;20000;20000;0.0;759.4;+1.4;38;;
Alūksne;13.04 16:00;+15.4;+14.5;+15.0;0.0;3.7;8.5;19610;20000;0.0;760.0;-1.0;34;0.0;
Bauska;13.04 16:00;+13.9;+13.4;+13.7;0.0;3.8;7.1;17180;20000;0.0;758.3;+5.8;59;;
Dagda;13.04 16:00;+14.2;+12.7;+13.4;0.0;4.6;14.9;11910;20000;0.0;759.4;+0.0;41;;
Daugavgrīva;13.04 16:00;+16.7;+13.8;+15.5;0.0;3.9;7.4;19360;20000;0.0;758.4;+2.8;44;;
Daugavpils;13.04 16:00;+13.8;+13.3;+13.5;0.0;3.0;10.1;20000;20000;0.0;758.9;+2.0;46;0.0;lietus
Dobele;13.04 16:00;+13.7;+12.6;+13.2;0.0;3.9;9.2;20000;20000;0.0;758.5;+5.7;63;0.0;
Gulbene;13.04 16:00;+16.7;+15.9;+16.1;0.0;5.9;9.9;19340;20000;0.0;759.3;-0.9;32;;
Jelgava;13.04 16:00;+14.2;+13.7;+13.8;0.0;3.3;5.4;15160;20000;0.0;758.5;+5.8;59;;
Kalnciems;13.04 16:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 16:00;+8.7;+7.8;+8.2;0.0;2.9;9.7;9000;20000;0.0;758.8;+2.3;68;0.9;
Kuldīga;13.04 16:00;;;;0.0;;;;;0.0;;;;;
Lielpēči;13.04 16:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 16:00;+14.3;+13.9;+14.1;0.0;2.1;5.3;1090;17997;0.0;757.0;+6.2;60;0.0;
Madona;13.04 16:00;+14.9;+14.5;+14.7;0.0;2.6;5.5;9470;20000;0.0;759.4;+0.2;37;;
Mērsrags;13.04 16:00;+12.5;+10.6;+11.5;0.0;2.8;5.6;17540;20000;0.0;758.5;+3.6;59;;
Pāvilosta;13.04 16:00;+13.8;+9.3;+11.1;0.0;3.4;6.6;16060;20000;0.0;757.3;+6.0;76;;
