Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Pāvilosta;13.04 19:00;+13.7;+12.9;+13.3;0.0;4.5;11.1;20000;20000;0.0;758.0;+5.0;59;;
Piedruja;13.04 19:00;;;;0.0;;;;;0.0;;;;;
Priekuļi;13.04 19:00;+14.3;+13.8;+14.1;0.0;2.7;5.3;14040;19510;0.0;760.0;+0.3;39;;
Rēzekne;13.04 19:00;+14.1;+13.7;+13.9;0.0;4.3;13.3;20000;20000;0.0;760.0;-0.4;38;;
Rīga;13.04 19:00;+15.1;+14.3;+14.8;0.0;5.5;12.4;8920;14842;0.0;759.4;+1.2;41;0.0;
Rucava;13.04 19:00;+12.7;+12.2;+12.4;0.0;2.3;8.5;20000;20000;0.0;757.6;+6.8;70;;
Rūjiena;13.04 19:00;+14.5;+13.5;+14.1;0.0;7.4;11.6;20000;20000;0.0;760.4;+2.1;46;;
Saldus;13.04 19:00;+11.0;+10.6;+10.8;0.0;4.1;6.0;13840;20000;0.0;758.6;+6.3;75;;lietus; smidzināšana
Sigulda;13.04 19:00;;;;0.0;;;;;0.0;;;;;
Sīļi;13.04 19:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 19:00;;;+13.2;;3.3;;;;0.0;759.5;+2.4;49;;
Skulte;13.04 19:00;+14.7;+14.0;+14.3;0.0;1.4;5.1;20000;20000;0.0;759.7;+1.2;42;;
Stende;13.04 19:00;+13.0;+11.9;+12.7;0.0;3.0;5.6;16110;20000;0.0;759.1;+5.6;65;;lietus
Ventspils;13.04 19:00;+14.6;+14.0;+14.3;0.0;4.1;8.7;20000;20000;0.0;758.6;+4.2;52;;
Vičaki;13.04 19:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 19:00;+13.6;+11.9;+12.9;0.0;3.7;8.3;10520;20000;0.0;760.1;+2.3;52;;lietus
Zosēni;13.04 19:00;+14.2;+13.5;+14.0;0.0;2.6;6.7;8600;20000;0.0;759.9;+0.4;41;0.0;
