Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Ainaži;13.04 13:00;+13.5;+13.1;+13.3;0.0;7.4;10.5;20000;20000;0.0;759.3;+2.3;47;;
Alūksne;13.04 13:00;+13.7;+11.6;+12.8;0.0;3.6;6.7;18890;20000;0.0;760.0;+1.1;43;0.9;
Bauska;13.04 13:00;+13.6;+12.1;+12.9;0.0;4.2;6.9;9850;20000;0.0;757.8;+3.7;52;;
Dagda;13.04 13:00;+12.7;+11.9;+12.2;0.0;2.5;4.9;10230;20000;0.0;758.9;+0.7;44;;
Daugavgrīva;13.04 13:00;+9.3;+8.2;+8.8;0.0;4.4;6.5;20000;20000;0.0;757.8;+4.2;73;;
Daugavpils;13.04 13:00;+13.5;+12.5;+13.0;0.0;1.2;5.8;16150;20000;0.0;758.5;+3.4;51;0.0;
Dobele;13.04 13:00;+14.3;+12.6;+13.4;0.0;2.1;5.9;4360;19902;0.0;757.6;+5.3;55;0.0;
Gulbene;13.04 13:00;+15.9;+14.0;+14.7;0.0;4.6;7.8;16280;20000;0.0;759.1;+1.1;37;;
Jelgava;13.04 13:00;+13.1;+12.4;+12.8;0.0;3.4;5.4;18960;20000;0.0;757.9;+4.1;55;;
Kalnciems;13.04 13:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 13:00;+9.1;+6.7;+7.9;0.0;6.0;10.2;17930;20000;0.0;758.8;+2.8;71;0.3;
Kuldīga;13.04 13:00;;;;;;;;;0.0;;;;;
Lielpēči;13.04 13:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 13:00;+11.6;+10.4;+10.9;0.0;2.8;4.9;10300;20000;0.0;757.1;+7.8;78;0.0;
Madona;13.04 13:00;+15.4;+13.4;+14.6;0.0;2.5;7.2;20000;20000;0.0;758.7;+0.1;36;;
Mērsrags;13.04 13:00;+9.0;+7.7;+8.2;0.0;2.7;7.0;20000;20000;0.0;758.5;+3.7;74;;
Pāvilosta;13.04 13:00;+11.9;+11.1;+11.5;0.0;1.9;4.2;18320;20000;0.0;757.6;+7.3;74;;
Piedruja;13.04 13:00;;;;0.0;;;;;0.0;;;;;
Priekuļi;13.04 13:00;+15.0;+13.6;+14.1;0.0;3.3;7.3;17010;20000;0.0;758.8;+2.1;42;;
Rēzekne;13.04 13:00;+13.8;+12.6;+13.3;0.0;4.2;7.2;10200;20000;0.0;759.1;+0.0;39;;
Rīga;13.04 13:00;+14.3;+13.3;+13.8;0.0;2.3;5.9;12470;14715;0.0;757.6;+2.1;44;0.0;
Rucava;13.04 13:00;+11.5;+9.8;+10.4;0.0;3.0;4.1;17110;20000;0.0;756.9;+8.3;81;;
Rūjiena;13.04 13:00;+13.7;+12.2;+13.0;0.0;5.7;8.6;16510;20000;0.0;759.7;+2.8;48;;
Saldus;13.04 13:00;+13.5;+12.3;+12.9;0.0;5.8;8.9;6420;20000;0.0;757.3;+5.4;61;;
Sigulda;13.04 13:00;;;;0.0;;;;;0.0;;;;;
Sīļi;13.04 13:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 13:00;+14.5;+13.3;+13.9;0.0;3.6;7.4;12870;20000;0.0;758.0;+2.7;46;;
Skulte;13.04 13:00;+14.4;+13.0;+13.7;0.0;3.2;7.4;18110;20000;0.0;758.2;+2.8;46;;
Stende;13.04 13:00;+12.1;+10.8;+11.4;0.0;4.1;7.7;19110;20000;0.0;758.2;+4.6;61;;
Ventspils;13.04 13:00;+12.1;+8.9;+11.0;0.0;2.9;4.0;18780;20000;0.0;758.3;+6.4;85;;
Vičaki;13.04 13:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 13:00;+13.8;+13.1;+13.4;0.0;2.9;6.2;7440;19287;0.0;758.6;+1.1;44;;
Zosēni;13.04 13:00;+14.4;+13.3;+13.7;0.0;4.4;8.5;20000;20000;0.0;758.6;+0.8;40;0.1;
Ainaži;13.04 12:00;+13.3;+12.4;+12.8;0.0;7.4;10.2;20000;20000;0.0;759.0;+2.7;49;;
Alūksne;13.04 12:00;+11.7;+10.8;+11.3;0.0;2.8;5.9;20000;20000;0.0;760.0;+0.6;47;0.2;
