Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Pāvilosta;13.04 11:00;+10.6;+9.4;+10.0;0.0;2.3;4.2;14140;19128;0.0;757.5;+8.1;85;;lietus
Piedruja;13.04 11:00;;;;0.0;;;;;0.0;;;;;
Priekuļi;13.04 11:00;+12.8;+10.5;+11.5;0.0;2.3;4.6;13960;19808;0.0;758.6;+1.4;47;;
Rēzekne;13.04 11:00;+12.2;+11.0;+11.6;0.0;4.0;6.4;20000;20000;0.0;758.6;-0.1;43;;
Rīga;13.04 11:00;+13.1;+12.6;+12.9;0.0;4.1;7.3;12280;15220;0.0;758.0;+1.4;46;0.0;
Rucava;13.04 11:00;+10.0;+9.4;+9.7;0.3;3.0;5.8;14390;19078;0.0;757.0;+7.9;90;;lietus
Rūjiena;13.04 11:00;+11.4;+10.6;+11.1;0.0;4.4;6.5;20000;20000;0.0;759.4;+2.1;53;;
Saldus;13.04 11:00;+11.3;+9.2;+10.2;0.0;2.1;4.0;3910;19617;0.0;757.6;+6.8;75;;
Sigulda;13.04 11:00;;;;0.0;;;;;0.0;;;;;
Sīļi;13.04 11:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 11:00;+12.6;+11.6;+12.2;0.0;3.0;7.6;20000;20000;0.0;757.7;+0.7;45;;
Skulte;13.04 11:00;+12.2;+11.5;+12.0;0.0;2.9;6.7;20000;20000;0.0;758.1;+2.0;50;;
Stende;13.04 11:00;+11.0;+10.0;+10.4;0.0;1.4;2.4;15970;19902;0.0;757.9;+7.7;81;;
Ventspils;13.04 11:00;+11.0;+9.7;+10.4;0.2;4.0;6.4;11160;19040;0.0;757.9;+7.8;81;;lietus
Vičaki;13.04 11:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 11:00;+12.3;+11.3;+11.9;0.0;3.4;5.9;16650;20000;0.0;758.1;+1.4;48;;
Zosēni;13.04 11:00;+11.9;+10.9;+11.3;0.0;3.5;6.2;20000;20000;0.0;758.8;+1.4;49;0.2;
Ainaži;13.04 10:00;+11.6;+11.2;+11.4;0.0;4.3;6.8;20000;20000;0.0;759.0;+2.5;54;;
Alūksne;13.04 10:00;+9.1;+8.4;+8.8;0.0;2.8;6.0;19760;20000;0.0;759.6;+0.2;54;0.0;
Bauska;13.04 10:00;+10.7;+9.7;+10.3;0.0;2.2;3.8;16310;19742;0.0;757.3;+5.4;70;;
Dagda;13.04 10:00;+11.1;+10.2;+10.5;0.0;4.1;6.3;20000;20000;0.0;758.2;-0.2;46;;
Daugavgrīva;13.04 10:00;+9.2;+7.3;+8.1;0.0;3.9;8.6;20000;20000;0.0;757.8;+4.5;80;;
Daugavpils;13.04 10:00;+11.6;+10.9;+11.2;0.0;1.0;5.4;16040;20000;0.0;757.8;+1.6;51;0.0;
Dobele;13.04 10:00;+11.7;+10.3;+10.8;0.0;2.0;3.7;18130;20000;0.0;757.5;+7.2;74;0.0;
Gulbene;13.04 10:00;+10.8;+9.7;+10.2;0.0;3.1;6.2;20000;20000;0.0;758.8;+0.9;51;;
Jelgava;13.04 10:00;+11.4;+10.0;+10.8;0.0;3.2;4.5;16840;20000;0.0;757.5;+5.1;66;;
Kalnciems;13.04 10:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 10:00;+11.4;+8.4;+10.5;0.0;1.9;6.4;1700;7695;0.0;758.8;+3.8;73;0.0;
Kuldīga;13.04 10:00;;;;0.0;;;;;0.0;;;;;
Lielpēči;13.04 10:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 10:00;+9.6;+9.2;+9.4;0.4;2.7;5.7;13430;19213;0.0;757.1;+7.9;90;0.0;lietus
Madona;13.04 10:00;+10.8;+9.7;+10.2;0.0;1.7;4.1;20000;20000;0.0;758.6;+1.2;52;;
Mērsrags;13.04 10:00;+11.5;+8.1;+9.9;0.0;2.1;5.4;20000;20000;0.0;758.5;+4.8;78;;
Pāvilosta;13.04 10:00;+9.5;+9.2;+9.4;0.5;1.9;7.2;12140;16727;0.0;757.3;+8.1;92;;lietus
Piedruja;13.04 10:00;;;;0.0;;;;;0.0;;;;;
Priekuļi;13.04 10:00;+10.4;+9.4;+9.8;0.0;2.0;3.9;19980;20000;0.0;758.5;+1.9;56;;
Rēzekne;13.04 10:00;+11.1;+9.7;+10.4;0.0;3.1;5.8;7820;20000;0.0;758.5;+0.0;47;;
Rīga;13.04 10:00;+12.6;+11.9;+12.2;0.0;3.6;7.9;9680;13498;0.0;757.7;+2.4;50;0.0;
Rucava;13.04 10:00;+9.4;+9.0;+9.1;0.5;3.2;5.6;11670;18582;0.0;756.9;+7.8;90;;lietus
Rūjiena;13.04 10:00;+10.6;+9.9;+10.3;0.0;3.7;6.1;20000;20000;0.0;759.2;+1.9;55;;
Saldus;13.04 10:00;+9.2;+8.4;+8.8;0.0;3.0;4.7;16580;20000;0.0;757.6;+7.6;90;;lietus
Sigulda;13.04 10:00;;;;;;;;;0.0;;;;;
Sīļi;13.04 10:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 10:00;+12.1;+11.5;+11.8;0.0;3.1;6.0;20000;20000;0.0;757.6;+1.5;50;;
Skulte;13.04 10:00;+11.5;+10.6;+11.0;0.0;3.0;6.0;20000;20000;0.0;758.0;+1.9;52;;
Stende;13.04 10:00;+10.3;+9.2;+9.8;0.0;0.4;2.6;16800;20000;0.0;757.9;+6.4;77;;lietus
Ventspils;13.04 10:00;+9.8;+9.4;+9.6;0.2;3.6;7.6;13360;16132;0.0;758.2;+7.7;87;;lietus
Vičaki;13.04 10:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 10:00;+11.3;+9.5;+10.3;0.0;1.8;4.7;15400;20000;0.0;757.9;+1.9;53;;
Zosēni;13.04 10:00;+10.9;+9.7;+10.3;0.0;4.2;6.1;20000;20000;0.0;758.5;+0.4;49;0.1;
