Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Ainaži;13.04 11:00;+12.3;+11.5;+11.8;0.0;5.6;7.9;7030;20000;0.0;759.0;+2.1;50;;
Alūksne;13.04 11:00;+10.8;+9.1;+9.7;0.0;3.1;6.4;20000;20000;0.0;759.8;+0.7;50;0.5;
Bauska;13.04 11:00;+11.1;+10.7;+10.9;0.0;2.9;4.5;20000;20000;0.0;757.4;+5.1;67;;
Dagda;13.04 11:00;+11.6;+11.1;+11.3;0.0;2.5;7.0;20000;20000;0.0;758.5;+0.0;45;;
Daugavgrīva;13.04 11:00;+9.0;+7.6;+8.4;0.0;4.2;7.8;20000;20000;0.0;758.0;+4.4;78;;
Daugavpils;13.04 11:00;+12.7;+11.5;+12.2;0.0;0.8;2.7;17160;20000;0.0;757.9;+1.7;48;0.0;
Dobele;13.04 11:00;+12.0;+11.6;+11.8;0.0;3.8;5.9;12440;20000;0.0;757.7;+6.2;69;0.0;
Gulbene;13.04 11:00;+13.2;+10.7;+11.9;0.0;4.0;5.9;5580;20000;0.0;759.1;+1.5;46;;
Jelgava;13.04 11:00;+11.9;+11.3;+11.7;0.0;3.4;4.7;19080;20000;0.0;757.3;+3.8;58;;
Kalnciems;13.04 11:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 11:00;+8.8;+6.6;+8.1;0.0;3.7;6.6;20000;20000;0.0;759.1;+3.2;78;0.0;
Kuldīga;13.04 11:00;;;;0.0;;;;;0.0;;;;;
Lielpēči;13.04 11:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 11:00;+10.4;+9.5;+10.0;0.1;2.2;6.1;13210;19362;0.0;757.1;+8.0;87;0.0;lietus
Madona;13.04 11:00;+12.7;+10.7;+11.8;0.0;1.6;5.6;20000;20000;0.0;758.6;+0.8;45;;
Mērsrags;13.04 11:00;+9.7;+8.6;+9.2;0.0;3.0;6.4;10470;19397;0.0;758.2;+3.7;67;;
