Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Ainaži;13.04 21:00;+13.8;+12.8;+13.3;0.0;4.8;7.7;20000;20000;0.0;761.2;+3.0;51;;
Alūksne;13.04 21:00;+11.5;+10.5;+11.0;0.0;3.1;8.9;19600;20000;0.0;761.8;+0.2;49;0.0;
Bauska;13.04 21:00;+12.2;+11.4;+11.8;0.0;5.9;9.5;20000;20000;0.0;760.0;+3.5;58;;
Dagda;13.04 21:00;+12.9;+11.6;+12.2;0.0;2.7;7.8;20000;20000;0.0;759.9;+1.0;47;;lietus
Daugavgrīva;13.04 21:00;+13.5;+12.5;+13.2;0.0;5.0;8.6;12480;20000;0.0;760.3;+1.6;45;;
Daugavpils;13.04 21:00;+10.7;+9.5;+10.1;0.0;0.9;1.8;9170;18933;0.0;760.0;+4.8;73;0.0;
Dobele;13.04 21:00;+12.5;+11.7;+12.1;0.0;4.5;7.9;20000;20000;0.0;759.9;+4.1;59;0.0;
Gulbene;13.04 21:00;+13.0;+12.0;+12.6;0.0;2.7;6.6;20000;20000;0.0;761.2;+2.1;51;;
Jelgava;13.04 21:00;+13.1;+12.1;+12.7;0.0;5.5;11.0;20000;20000;0.0;760.0;+3.5;56;;
Kalnciems;13.04 21:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 21:00;+7.5;+6.8;+7.2;0.0;1.6;5.7;18950;20000;0.0;760.8;+2.5;74;0.0;lietus
Kuldīga;13.04 21:00;;;;0.0;;;;;0.0;;;;;
Lielpēči;13.04 21:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 21:00;+12.3;+11.8;+12.0;0.0;3.0;7.1;20000;20000;0.0;758.6;+6.8;72;0.0;
Madona;13.04 21:00;+12.4;+11.5;+12.0;0.0;1.3;5.4;20000;20000;0.0;760.9;+1.3;49;;
Mērsrags;13.04 21:00;+11.7;+9.0;+10.7;0.0;1.5;7.3;20000;20000;0.0;760.4;+2.5;54;;
Pāvilosta;13.04 21:00;;;;;;;;;;759.0;;;;
Piedruja;13.04 21:00;;;;;;;;;0.0;;;;;
Priekuļi;13.04 21:00;+14.0;+13.1;+13.5;0.0;2.8;7.3;19410;20000;0.0;760.9;+1.6;45;;
Rēzekne;13.04 21:00;+12.5;+11.0;+11.7;0.0;1.3;2.7;17090;20000;0.0;760.3;+1.2;48;;
Rīga;13.04 21:00;+14.1;+13.6;+13.9;0.0;6.1;13.1;12600;15502;0.0;760.3;+1.8;45;0.0;
Rucava;13.04 21:00;+11.6;+11.1;+11.4;0.0;4.2;6.4;15580;20000;0.0;758.3;+6.5;72;;lietus
Rūjiena;13.04 21:00;+12.8;+11.6;+12.2;0.0;6.9;10.5;9430;20000;0.0;761.6;+1.3;48;;
Saldus;13.04 21:00;+11.1;+10.5;+10.8;0.0;5.7;8.9;19470;20000;0.0;759.4;+5.4;71;;
Sigulda;13.04 21:00;;;;0.0;;;;;0.0;;;;;
Sīļi;13.04 21:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 21:00;+12.1;+11.7;+11.9;0.0;4.0;10.0;20000;20000;0.0;760.5;+2.9;55;;
Skulte;13.04 21:00;+14.1;+13.5;+13.9;0.0;1.2;4.4;20000;20000;0.0;760.6;+1.2;43;;
Stende;13.04 21:00;+11.9;+11.2;+11.6;0.0;4.5;7.9;20000;20000;0.0;760.0;+4.9;64;;lietus
Ventspils;13.04 21:00;+12.9;+11.8;+12.4;0.0;4.8;7.1;20000;20000;0.0;759.7;+6.0;68;;
Vičaki;13.04 21:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 21:00;+11.4;+10.3;+11.0;0.0;2.8;7.2;19250;20000;0.0;760.7;+3.4;61;;lietus
Zosēni;13.04 21:00;+13.0;+11.1;+12.1;0.0;1.7;6.3;20000;20000;0.0;761.0;+1.3;51;0.0;
Ainaži;13.04 20:00;+14.0;+12.9;+13.5;0.0;3.9;7.3;20000;20000;0.0;760.6;+4.3;56;;
Alūksne;13.04 20:00;+11.7;+10.6;+11.3;0.0;2.7;7.4;20000;20000;0.0;761.4;+0.8;50;0.0;
Bauska;13.04 20:00;+13.2;+12.2;+12.8;0.0;6.6;12.1;20000;20000;0.0;759.4;+3.3;55;;
Dagda;13.04 20:00;+12.3;+11.5;+12.0;0.0;0.8;3.4;20000;20000;0.0;760.0;+1.3;49;;lietus
Daugavgrīva;13.04 20:00;+13.6;+12.1;+12.7;0.0;3.6;8.0;20000;20000;0.0;759.7;+1.6;45;;
Daugavpils;13.04 20:00;+11.3;+10.7;+11.1;0.0;0.3;3.4;11510;20000;0.0;759.9;+4.8;67;0.0;lietus
Dobele;13.04 20:00;+13.3;+12.2;+12.9;0.0;3.8;10.0;18480;20000;0.0;759.4;+4.6;60;0.0;lietus; smidzināšana
Gulbene;13.04 20:00;+14.0;+13.1;+13.5;0.0;4.6;8.2;20000;20000;0.0;760.6;+2.0;47;;
