Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Ainaži;13.04 19:00;+15.3;+13.9;+14.5;0.0;4.5;9.5;19490;20000;0.0;760.1;+3.8;51;;lietus
Alūksne;13.04 19:00;+12.6;+11.5;+12.1;0.0;3.0;8.9;6150;19950;0.0;760.8;+0.9;48;0.0;
Bauska;13.04 19:00;+13.8;+13.0;+13.5;0.0;5.4;8.5;19630;20000;0.0;759.0;+3.8;54;;
Dagda;13.04 19:00;+12.5;+12.2;+12.3;0.0;3.3;8.7;20000;20000;0.0;759.9;+1.2;47;;
Daugavgrīva;13.04 19:00;+14.2;+12.5;+13.4;0.0;4.7;10.6;17910;20000;0.0;759.4;+1.4;44;;
Daugavpils;13.04 19:00;+12.6;+11.2;+11.8;0.0;1.4;9.2;16580;20000;0.0;759.8;+4.4;63;0.0;lietus
Dobele;13.04 19:00;+13.1;+12.7;+12.8;0.0;4.3;6.6;20000;20000;0.0;758.8;+4.9;58;0.0;
Gulbene;13.04 19:00;+15.0;+13.9;+14.3;0.0;4.6;8.0;20000;20000;0.0;760.0;+2.2;45;;
Jelgava;13.04 19:00;+13.9;+13.4;+13.6;0.0;5.4;9.8;20000;20000;0.0;758.9;+3.6;51;;
Kalnciems;13.04 19:00;;;;;;;;;0.0;;;;;
Kolka;13.04 19:00;+8.2;+6.1;+7.0;0.0;4.5;8.9;16510;20000;0.0;759.4;+2.7;71;0.0;
Kuldīga;13.04 19:00;;;;0.0;;;;;0.0;;;;;
Lielpēči;13.04 19:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 19:00;+13.2;+12.7;+12.9;0.0;3.5;7.6;3000;19750;0.0;757.8;+6.2;65;0.0;
Madona;13.04 19:00;+14.5;+13.4;+14.2;0.0;3.3;8.0;20000;20000;0.0;760.0;+0.3;41;;
Mērsrags;13.04 19:00;+12.0;+10.8;+11.3;0.0;1.8;4.7;14100;19998;0.0;759.2;+4.0;61;;
Pāvilosta;13.04 19:00;+13.7;+12.9;+13.3;0.0;4.5;11.1;20000;20000;0.0;758.0;+5.0;59;;
Piedruja;13.04 19:00;;;;0.0;;;;;0.0;;;;;
Priekuļi;13.04 19:00;+14.3;+13.8;+14.1;0.0;2.7;5.3;14040;19510;0.0;760.0;+0.3;39;;
Rēzekne;13.04 19:00;+14.1;+13.7;+13.9;0.0;4.3;13.3;20000;20000;0.0;760.0;-0.4;38;;
Rīga;13.04 19:00;+15.1;+14.3;+14.8;0.0;5.5;12.4;8920;14842;0.0;759.4;+1.2;41;0.0;
Rucava;13.04 19:00;+12.7;+12.2;+12.4;0.0;2.3;8.5;20000;20000;0.0;757.6;+6.8;70;;
Rūjiena;13.04 19:00;+14.5;+13.5;+14.1;0.0;7.4;11.6;20000;20000;0.0;760.4;+2.1;46;;
Saldus;13.04 19:00;+11.0;+10.6;+10.8;0.0;4.1;6.0;13840;20000;0.0;758.6;+6.3;75;;
Sigulda;13.04 19:00;;;;0.0;;;;;0.0;;;;;
Sīļi;13.04 19:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 19:00;;;+13.2;;3.3;;;;0.0;759.5;+2.4;49;;
Skulte;13.04 19:00;+14.7;+14.0;+14.3;0.0;1.4;5.1;20000;20000;0.0;759.7;+1.2;42;;
Stende;13.04 19:00;+13.0;+11.9;+12.7;0.0;3.0;5.6;16110;20000;0.0;759.1;+5.6;65;;
Ventspils;13.04 19:00;+14.6;+14.0;+14.3;0.0;4.1;8.7;20000;20000;0.0;758.6;+4.2;52;;
Vičaki;13.04 19:00;;;;0.0;;;;;0.0;;;;;
Zīlāni;13.04 19:00;+13.6;+11.9;+12.9;0.0;3.7;8.3;10520;20000;0.0;760.1;+2.3;52;;
Zosēni;13.04 19:00;+14.2;+13.5;+14.0;0.0;2.6;6.7;8600;20000;0.0;759.9;+0.4;41;0.0;
Ainaži;13.04 18:00;+16.2;+15.3;+15.8;0.0;5.1;7.1;20000;20000;0.0;759.9;+2.5;42;;
Alūksne;13.04 18:00;+13.6;+12.5;+13.0;0.0;4.2;9.2;3170;18108;0.0;760.3;+1.5;47;0.0;
Bauska;13.04 18:00;+13.7;+13.4;+13.6;0.0;3.4;5.6;18140;20000;0.0;758.5;+4.0;52;;
Dagda;13.04 18:00;+12.5;+11.9;+12.2;0.0;4.5;11.2;20000;20000;0.0;760.0;+1.8;49;;
Daugavgrīva;13.04 18:00;+14.8;+12.8;+13.7;0.0;4.0;8.3;20000;20000;0.0;759.1;+2.0;46;;
Daugavpils;13.04 18:00;+13.1;+12.6;+12.8;0.0;4.7;9.0;20000;20000;0.0;759.5;+2.5;50;0.0;lietus
Dobele;13.04 18:00;+13.0;+12.6;+12.8;0.0;3.5;4.7;20000;20000;0.0;758.5;+5.6;62;0.0;
Gulbene;13.04 18:00;+15.4;+14.9;+15.2;0.0;4.5;8.9;20000;20000;0.0;759.7;-0.1;36;;
Jelgava;13.04 18:00;+13.8;+13.6;+13.7;0.0;3.3;5.5;20000;20000;0.0;758.7;+5.7;59;;
Kalnciems;13.04 18:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 18:00;+9.0;+6.7;+7.8;0.0;1.5;8.4;19160;20000;0.0;759.1;+2.7;76;0.0;
Kuldīga;13.04 18:00;;;;0.0;;;;;0.0;;;;;
Lielpēči;13.04 18:00;;;;;;;;;0.0;;;;;
Liepāja;13.04 18:00;+13.5;+13.0;+13.2;0.0;2.4;7.0;20000;20000;0.0;757.3;+6.1;63;0.0;
Madona;13.04 18:00;+15.0;+14.5;+14.7;0.0;3.4;8.7;20000;20000;0.0;759.7;-0.5;36;;
Mērsrags;13.04 18:00;+11.7;+9.5;+10.7;0.0;1.8;6.2;17740;20000;0.0;759.0;+4.3;65;;
Pāvilosta;13.04 18:00;+14.8;+13.7;+14.1;0.0;5.7;11.3;17990;20000;0.0;757.4;+4.0;52;;
Piedruja;13.04 18:00;;;;;;;;;0.0;;;;;
Priekuļi;13.04 18:00;+14.6;+14.2;+14.4;0.0;2.1;6.4;17020;20000;0.0;759.6;+0.4;39;;
Rēzekne;13.04 18:00;+14.4;+13.5;+13.8;0.0;3.5;13.9;20000;20000;0.0;759.7;-0.4;38;;
Rīga;13.04 18:00;+15.0;+14.5;+14.7;0.0;3.3;8.8;12870;14605;0.0;759.0;+1.8;41;0.0;
