Pilsēta;Laiks;Stundas maksimālā temperatūra;Stundas minimālā temperatūra;Stundas vidējā temperatūra;Stundas nokrišņu daudzums;Vidējais vēja ātrums novērojumu termiņā (10 min. vidējais);Stundas maksimālās vēja brāzmas;Stundas minimālā redzamība;Stundas vidējā redzamība;Stundas vidējais sniega segas biezums;Atmosfēras spiediens jūras līmenī novērojuma termiņā (milibāros);Rasas punkta temperatūra novērojuma termiņā;Relatīvais gaisa mitrums novērojumu termiņā;Saules spīdēšanas ilgums;Laika parādības
Ainaži;13.04 15:00;+15.5;+13.8;+14.5;0.0;6.0;10.5;20000;20000;0.0;759.3;+3.5;45;;
Alūksne;13.04 15:00;+15.9;+14.4;+15.2;0.0;4.5;9.9;15510;20000;0.0;759.9;-1.0;33;0.2;
Bauska;13.04 15:00;+14.1;+13.6;+13.8;0.0;6.2;10.2;10360;20000;0.0;758.4;+5.7;59;;
Dagda;13.04 15:00;+14.8;+13.9;+14.4;0.0;6.5;14.0;13660;20000;0.0;759.0;-1.5;34;;
Daugavgrīva;13.04 15:00;+16.6;+8.6;+12.2;0.0;3.8;7.2;14920;20000;0.0;758.1;+1.1;36;;
Daugavpils;13.04 15:00;+15.2;+13.5;+14.4;0.0;4.4;11.4;10090;20000;0.0;758.7;+1.4;44;0.0;
Dobele;13.04 15:00;+14.4;+13.5;+13.9;0.0;6.0;8.9;19060;20000;0.0;758.2;+5.0;56;0.0;
Gulbene;13.04 15:00;+16.8;+16.1;+16.4;0.0;6.1;10.0;13570;20000;0.0;759.3;-1.3;30;;
Jelgava;13.04 15:00;+14.5;+13.7;+14.1;0.0;3.2;6.0;8540;20000;0.0;758.4;+5.9;59;;
Kalnciems;13.04 15:00;;;;0.0;;;;;0.0;;;;;
Kolka;13.04 15:00;+8.5;+7.0;+8.0;0.0;6.3;10.8;19260;20000;0.0;758.5;+3.4;71;1.0;
Kuldīga;13.04 15:00;;;;;;;;;0.0;;;;;
Lielpēči;13.04 15:00;;;;0.0;;;;;0.0;;;;;
Liepāja;13.04 15:00;+15.0;+13.6;+14.1;0.0;2.9;5.0;12580;20000;0.0;757.0;+6.3;60;0.4;
Madona;13.04 15:00;+14.7;+14.3;+14.5;0.0;3.0;6.2;11530;20000;0.0;759.4;+0.0;37;;
Mērsrags;13.04 15:00;+11.4;+9.1;+9.9;0.0;1.7;6.1;20000;20000;0.0;758.5;+3.7;60;;
Pāvilosta;13.04 15:00;+13.9;+12.3;+13.2;0.0;3.6;6.1;18310;20000;0.0;757.1;+6.9;66;;
Piedruja;13.04 15:00;;;;0.0;;;;;0.0;;;;;
Priekuļi;13.04 15:00;+15.5;+14.7;+15.2;0.0;5.6;10.7;16260;20000;0.0;759.1;-0.6;34;;
Rēzekne;13.04 15:00;+15.0;+14.2;+14.6;0.0;5.6;9.6;20000;20000;0.0;759.2;-1.7;32;;
Rīga;13.04 15:00;+16.4;+16.0;+16.1;0.0;5.2;9.5;11300;13245;0.0;758.2;+2.0;39;0.0;
Rucava;13.04 15:00;+12.8;+12.4;+12.6;0.0;1.9;5.0;6800;20000;0.0;756.9;+8.2;75;;
Rūjiena;13.04 15:00;+15.5;+14.3;+14.8;0.0;5.9;8.5;7050;20000;0.0;759.7;+2.2;41;;
Saldus;13.04 15:00;+14.6;+13.7;+14.1;0.0;5.3;9.7;18100;20000;0.0;757.5;+4.5;54;;
Sigulda;13.04 15:00;;;;0.0;;;;;0.0;;;;;
Sīļi;13.04 15:00;;;;0.0;;;;;0.0;;;;;
Skrīveri;13.04 15:00;+14.6;+14.0;+14.3;0.0;3.7;8.6;12630;20000;0.0;758.7;+2.6;45;;
Skulte;13.04 15:00;+17.4;+16.5;+17.1;0.0;5.1;9.3;17630;20000;0.0;758.4;+0.4;33;;
